Year,Lionsgate,Paramount Pictures,Sony Pictures Entertainment (SPE),The Weinstein Company,Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
2011,1774.27401,15497.004200000001,11871.85964,2645.32446,12460.26672,11261.717609999998,15703.589179999997,23211.905700000003
2012,12447.472320000003,8631.985020000002,15165.824199999997,4670.54136,12592.852110000002,14275.327070000001,17444.10779,20575.41232
2013,13922.994720000004,11537.03877,13651.88662,5581.1381,12244.830750000001,15594.115450000001,22220.04121,23408.88817
2014,11975.9945,12136.862539999998,11226.12168,3070.0872299999996,19307.271660000002,11932.402960000001,22098.54386,21517.434229999988
2015,9871.648399999998,10267.591229999998,8218.8354,2991.0718500000003,15624.52021,25407.61828,28461.95031,19140.0052
2016,10395.55839,10111.3068,7329.074130000001,1265.17722,18268.518060000002,15735.597429999998,39307.23142,20276.150970000002
2017,9508.654419999999,7105.01911,11640.252830000001,1274.1092499999997,17014.82566,17235.500299999996,33924.36442,22870.340949999998
2018,4521.92889,8302.110749999998,13558.53046,,12117.06103,18947.470409999998,41911.75379999999,23766.059979999995
2019,8254.20494,7002.24208,15705.818310000002,,7089.51932,16176.144400000001,42204.59739,21932.58688
2020,2701.4826199999998,2278.21509,9731.44199,,2019.12448,5144.207699999999,13913.578850000002,6163.530390000001
2021,928.1304600000002,2725.74384,3672.19435,,,6180.03036,8577.75677,6937.2917099999995